Problem,Class,Atributes,Relationship
"The bank can send information to its customer through email or SMS through online systems. This study aims to design new software that allows bank customers to set their communication preferences for future needs. By finishing this project, customers can select their communication preferences without going to a kiosk or a branch. A customer has a profile on the system that includes their customer ID, name, surname, email address, phone number, and address. The system should be compatible with two separate mobile platforms, which are Android and iOS. They should have the same function and features for the account creation process. The “Set Preferences” process should be under the “Accounts” menu. It should be added at the bottom of the page. Users should be able to choose if they want to get information via email or SMS. When a user enters the banking system user should see a menu that allows the user to select communication preferences. The screen should display an information message for the user stating that if the user changes the preferences, it will be applied to all the transaction flows and other contact-required processes. If the user has not any email address registered to the banking system, the email option should see as “disabled,” and by default, the SMS option is selected. Since SMS is the only option, the user should not be able to continue the process. If the user has both information (email and telephone number), the user can proceed with the flow. When the user selects email and completes the process, from that point, the bank should only send emails for sending information to the customer. Also, if the user selects the SMS option and completes the process, the bank should communicate with the user only via SMS. After the process, the banking system should store this preference in the database.","Customer, Preference, Platform, System Security, Database","Customer [ID, Name, Surname, Email, Phone, Address], Preference [Type, Status], Platform [Type, Version, Functionality]","Customer and Preference, Preference and Platform, Customer and Platform, Preference and Database, Security and Preference, Database and Security"
"We want to model a system for management of flights and pilots. An airline operates flights. Each airline has an ID and a name. Each flight has an ID, a departure airport and an arrival airport: an airport as a unique identifier, a name and location. Each flight has a pilot and a co-pilot, and it uses an aircraft of a certain type; a flight has also a departure time and an arrival time. An airline owns a set of aircrafts of different types. An aircraft can be in a working state, or it can be under repair. In a particular moment an aircraft can be landed or airborne. A company has a set of pilots: each pilot has an ID, name and experience level: 1 is minimum, 3 is maximum. A type of aeroplane may need a particular number of pilots, with a different role (e.g.: captain, co-pilot, navigator): there must be at least one captain and one co-pilot, and a captain must have a level 3.","Airline, Flight, Airport, Aircraft, Pilot","Airline [ID, Name], Flight [ID, Departure, Arrival, pilot, co-pilot], Airport [ID, Name, Location], Aircraft [Type, Status, State], Pilot [ID, Name, Level]","Airline and Flight, Flight and Airport, Flight and Aircraft, Flight and Pilot, Pilot and Aircraft"
"The university has decided to develop its own WatCard system for students, rather than rely on software from a vendor. The initial release of the software allows a WatCard holder to use the card to gain access to secure areas on campus (e.g., their residence after hours, computer rooms). Each student has a profile with student number, name, email, telephone number, major, and card validity. Students who hold the card can also use the card as a debit card, meaning that they can deposit money into an associated account, and can purchase items in certain locations by using the card to withdraw money from the account. In the beginning, students will only be able to use their WatCards to pay various university-related fees: parking fees (at parking permit dispensers), library fees, equipment rental fees at the Physical Activity Centre, fees for official transcripts, etc. Also, in the beginning, only online deposits will be supported. The system keeps a Usage record of every use of the WatCard.","Student, WatCard, Account, Transaction, Location","Student [Number, Name, Email, Telephone, Major], WatCard [Validity], Account [Number, Balance], Transaction [Type, Amount, Date, Time], Location [Type]","Student and WatCard, WatCard and Account, Account and Transaction, Transaction and Location"
"In a university there are different classrooms, offices and departments. A department has a name, and it contains many offices. A person working at the university has a unique ID and can be a professor or an employee with designation. A professor can be a full, associate or assistant professor and he/she is enrolled in one department. Each office has an office number and number of occupants. Every employee works in an office. A classroom has a number ID, capacity, number of seats and contains a number of facilities.","Department, Office, Person, Professor, Employee, Classroom, Facility","Department [name], Office [number, occupants], Person [ID], Professor [rank, department], Employee [Designation], Classroom [ID, capacity, seats], Facility [type]","Department and Office, Professor and Department, Employee and Office, Classroom and Facility"
"Design a system for a movie-shop, in order to handle ordering of movies and browsing of the catalogue of the store, and user subscriptions with rechargeable cards. Only subscribers are allowed hiring movies with their own card. Each subscriber has a unique subscriber ID, name, email, contact address, and loyalty points. Credit is updated on the card during rent operations. Users who do not subscribe also have their profile recorded on the system, which include user ID, username, email, and phone number. Both users and subscribers can buy a movie and their data are saved in the related order. When a movie is not available it is ordered.","Subscriber, User, Card, Movie, Order, Catalogue","Subscriber [ID, Name, Email, Address, Points, Card], User [Username, Email, Phone], Card [Balance], Movie [movie ID, title, availability status], Order [order ID, movie ID, user ID, date], Catalogue [Movies]","Subscriber and Card, Subscriber and Movie, User and Movie, Order and Movie, Catalogue and Movie"
"Consider a database system for a baseball organisation such as the major leagues. The data requirements are summarised as follows: The personnel involved in the league include players, coaches, managers, and umpires. Each is identified by a unique personnel ID. They are also described by their first and last names along with the date and their nationality. Players are further described by other attributes such as their batting orientation (left, right, or switch) and have a lifetime batting average (BA). Within the players' group is a subset of players called pitchers. Pitchers have a lifetime ERA (earned run average) associated with them. Teams are uniquely identified by their names. Teams are also described by the city in which they are located and the division and league in which they play (such as the Central division of the American League). Teams have one manager, a number of coaches, and a number of players. Games are played between two teams with one designated as the home team and the other the visiting team on a particular date. The score (runs, hits, and errors) is recorded for each team. The team with more number of runs is declared the winner of the game. With each finished game, a winning pitcher and a losing pitcher are recorded. In case there is a save awarded, the save pitcher is also recorded. With each finished game, the number of hits (singles, doubles, triples, and home runs) obtained by each player is also recorded. Design an Entity-Relationship diagram for the baseball database.","Personnel, Player, Pitcher, Coach, Manager, Umpire, Team, Game, Performance","Personnel [ID, Firstname, Lastname, DateOfBirth, Nationality], Player [Orientation, BA], Pitcher [ERA], Team [Name, City, Division, League], Game [Date, Home, Visiting, Score, Winning, Losing, Save], Performance [Singles, Doubles, Triples]","Personnel and Player, Player and Pitcher, Team and Manager, Team and Coach, Team and Player, Game and Team, Game and Pitcher, Game and Performance"
"A bank system contains data on customers identified by name and address and their accounts. Each account has a number and a balance and there are two types of accounts: one for savings which offers an interest rate, the other for investments, used to buy stocks. Stocks are bought at a certain quantity for a certain price (ticker) and the bank applies commission on stock orders.","Customer, Account, Savings, Investments, Stock, Stock Order, Commission","Customer [Name, Address], Account [Number, Balance], Savings [Rate], Stock [Ticker], Order [Quantity, Price], Commission [Amount]","Customer and Account, Account and Savings, Account and Investments, Investments and Order, Order and Stock, Order and Commission"
"InternetFlix wants to build a web-based DVD rental business whereby customers interact with the company via the Internet. Customers use a web interface to browse the DVD inventory, ask about the availability of movies, and request to borrow movies (up to 2 movies at a time). Each customer is identified by a unique customer ID and also has a name, email, phone number, movie preferences, and account number. The company is comprised of several branches, and each branch has a branch ID, name, address, telephone number, and detailed portfolio. Each branch has employees who work there, and their records include an employee ID, name, email, and designation. The company mails requested DVDs out to the customer, and the customer mails the DVDs back when he is done with them. The rental period is two weeks. There is a fee for renting a movie (movies have different rental fees based on whether they are new releases, whether the movie has won any special awards, etc.). Each movie has an ID, title, genre, synopsis, and rental fee. There is a late fee (assessed daily) for not returning a movie before the end of the rental period. When an account's balance falls below the value MinBal, the account is suspended, and the customer cannot initiate new loans until payment is made and the balance becomes non-negative. Information about both current and past loans is maintained.","Customer, Movie, Rental, Account, Branch, Employee, Loan","Customer [ID, Name, Email, Phone, Preferences, AccountNumber], Branch [ID, Name, Address, Telephone, Portfolio], Movie [ID, Title, Genre, Synopsis, Fee], Rental [Date, ReturnDate, FeeCharged, LateFee], Account [Balance, MinBal, Status], Branch [BranchID, Address, Telephone], Employee [ID, Name, Email, Designation], Loan [LoanDate, ReturnDate]","Customer and Account, Customer and Rental, Rental and Movie, Rental and Loan, Branch and Employee, Branch and Customer, Account and Customer, Rental and Account"
"A token-ring-based local area network (LAN) is a network consisting of nodes, where network packets are sent around the ring. Each node has a unique name and address within the network and refers to its next node. Different types of nodes exist: workstations are the originators of messages, while servers and printers are network nodes that can receive messages. Packets contain an originator, a destination, and content, and are circulated around the network. A LAN in this configuration forms a circular arrangement of nodes.","Node, Workstation, Server, Printer, Packet","Node [Name, Address, NextNode], Packet [Originator, Destination, Content]","Node and Packet, Workstation and Packet, Server and Packet, Printer and Packet, Node and Node"
"In today's highly competitive agricultural market, effective data management is crucial for crop trading companies. The ability to analyse crop prices, monitor market trends, and efficiently manage inventories is key to maintaining a competitive edge. To achieve these goals, a robust and comprehensive database system is essential. This document outlines the requirements and structure for a database system designed specifically for crop trading companies. The system should encompass various aspects, including Crop Pricing Data, Market Trends Analysis, and Inventory Management. Each crop is recorded with a unique crop ID, name, type (e.g. grain, tuber, etc.), variety, classification (organic or inorganic). Crop pricing data should collect crop price information, update price records, and calculate price averages, with price code, and timestamps. Market trends analysis should monitor market conditions, predict price fluctuations, and generate market reports, with analysis ID, timestamp, references to crops, and analysis data. Inventory management should maintain crop inventories, track crop shipments, and record inventory adjustments, with timestamp, references to crops, and management data. The system should support crop pricing analysis, market trend tracking, and inventory management for crop trading companies.","Crop, Price, MarketTrend, Inventory, Shipment, Adjustment, Report","Crop [ID, Name, Type, Variety, classification], Price [Code, Value, Average, Timestamp], MarketTrend [ID, Timestamp], Inventory [Quantity, Timestamp], Shipment [Crops, Quantity, Timestamp], Adjustment [Quantity, Timestamp, Reason],","Crop and Price, Crop and MarketTrend, Crop and Inventory, Crop and Shipment, Crop and Adjustment, Crop and Report"
"Organic farming has gained significant importance in recent years due to growing consumer demand for healthier and more sustainable food options. Certification bodies play a crucial role in verifying that farms adhere to organic standards. To efficiently manage the certification process, a well-structured database system is needed to handle farm certification, monitor organic practices, and maintain accurate certification records. By automating the certification and monitoring processes, the system can help reduce administrative overhead, minimize errors, and provide reliable data for auditing and compliance checks. This contributes to maintaining high standards in organic farming, benefiting both producers and consumers. Therefore, the system requirements are summarised as follows: Each certification has a unique certification number, date, description, and validity. The certification should assess farm eligibility, conduct inspections, and issue certificates. A farm is identified by a farm ID, name, address, and GPS coordinates. The Monitoring section should track farming activities, verify compliance with organic standards, and store results, which include date, description, and outcome. The record section keeps track of certification data with a unique record number, renewal date, and status. It also manages renewal processes and updates certification statuses. This system should streamline the certification process, ensure continuous compliance, and maintain accurate records for organic farming certification bodies.","Certification, Farm, Monitoring, Record","Certification [Number, Date, Description, Validity], Farm [ID, Name, Address, GPS_Coordinates], Monitoring [ID, Farms, Date, Description, Outcome], Record [Number, Date, Status]","Certification and Farm, Farm and Monitoring, Certification and Record, Record and Farm"
"Precision agriculture leverages advanced technologies, including IoT sensors, to optimize farming practices and enhance productivity. For a successful precision agriculture project, a robust database system is essential to manage data from various sources, analyse farm conditions, and implement precise crop management strategies. A well-structured database system can efficiently handle large volumes of sensor data, provide timely analysis of soil and environmental conditions, and automate crop management tasks, thereby supporting sustainable and profitable farming operations. The system requirements are detailed as follows: The Sensors should manage the collection of data from IoT devices, store the readings, and ensure data is updated. Each sensor has a unique sensor ID, reading time, and value. A condition is identified by a condition code, and also have time, description and type, which analyse the sensor data, assess soil and environmental factors, and recommend actions. The Crops component should implement the recommended actions, schedule watering, and monitor crop growth. Each crop is recorded with a crop number, variety, crop category, season, time, and growth, capturing details with fields like ID, time, and growth stage. Thus, the system should enable efficient handling of sensor data, analysis of farm conditions, and optimized crop management for precision farming.","Sensor, Condition, Crop, Action","Sensor [ID, Time, Value], Condition [Code, Time, Description, Type], Crop [Number, Variety, Category, Season, Time, Growth]","Sensor and Condition, Condition and Crop, Crop and Action"
"A financial management service for farms requires a database system to handle transactions, manage budgets, and generate reports. The system requirements are summarised as follows: Each transaction has a unique ID, date, amount, and description. So that all income and expenses and transaction are recorded. Transactions are done based on a budget. Each budget is identified by a budget number, date, allocated amount, duration, and description. Thus, the Budgets section should assist in creating and managing budgets, allocating amounts, and monitoring performance. Budgets has a report. The Reports section should generate financial summaries, provide insights, and analyse financial trends over time. Each report has a report ID, type, status, and summary. This system should support efficient tracking of farm transactions, management of budgets, and generation of financial reports.","Transaction, Budget, Report","Transaction [ID, Date, Amount, Description], Budget [Number, Date, Amount, Duration, Description], Report [ID, Date, Type, Status, Summary]","Transaction and Budget, Budget and Report, Transaction and Report"
"Managing agricultural exports efficiently is critical for companies dealing with international trade. A well-designed database system is essential for handling export orders, tracking shipments, and generating required documents. Such a system ensures that all processes are streamlined, and that information is accurate and easily accessible. The requirements for the system are outlined as follows and encompass the key functionalities and features necessary to ensure its successful implementation and operation: Each company involved in the export process is identified by a unique company ID and has name, address, contact information, certifications, and export licenses. Each company can handle multiple commodities, orders, shipments, and documents, ensuring efficient management of export operations. A commodity
to be exported is tagged with a commodity ID, name, type, description, status, quality
standards, and shelf life. The Orders section manages export requests from companies, stores order details like order ID, date, quantity, and destination, and order status. Each order is directly associated with a company and the commodities they are exporting. The Shipment tracks the status of each shipment for a company, monitors routes, and provides updates. Each shipment is linked to a specific order and commodity and includes details like shipment number, date, route, and status. This linkage ensures that the transportation of each commodity is carefully tracked and managed. The Documents section creates the necessary export paperwork for each order and shipment and stores all records. Documents are generated based on the company, order, and shipment details and are identified by a document ID, date, type, and shipment details. This ensures that all required export documentation is systematically organised and easily accessible. This system allows for the efficient management of export companies, commodities, orders, shipments, and documents, ensuring a streamlined and well-documented export process for agricultural export companies.","Company, Commodity, Order, Shipment, Document","Company [ID, Name, Address, Contact, Certifications, Licenses], Commodity [ID, Name, Type, Description, Status, Standards, ShelfLife], Order [ID, Date, Quantity, Destination, Status], Shipment [Number, Date, Route, Status], Document [ID, Date, Type, Details]","Company and Commodity, Company and Order, Order and Commodity, Order and Shipment, Shipment and Document, Company and Document"
"Consider a sample Problem Statement for an Online Stock Trading System below: A stock brokerage firm wants to provide an online stock trading service to enable its clients to make trades via the computer. With this system, a client must first be registered before he can trade online. The registration process involves the client providing his ID number, name, address and telephone number. A client may open one or more accounts for stock trading. The stock brokerage firm needs to be registered with a stock exchange before its clients can trade the stocks listed on the stock exchange. A stock brokerage firm can be registered with one or more stock exchanges. The stock brokerage firm may need to pay monthly charges for using the services provided by the stock exchange. Once registered, the client can buy and sell stocks. The client can check the current price, bid price, ask price and traded volume of a stock in real time. The stock price and traded volume information is provided by the stock exchange on which the stock is listed and traded. When a client issues a buy order for an account, the client must specify the stock code, the number of shares and the maximum price (bid price) that he is willing to pay for them. A client must have sufficient funds in his account to settle the transaction when it is completed. When a client issues a sell order, the client must specify the stock code; the number of shares and the minimum price (ask price) that he is willing to sell them. The client must have sufficient number of shares of the stock in his account before he can issue the sell order. A client can check the status of execution of his (buy or sell) orders. The client can issue a buy or sell order before the end of the trading day of the stock exchange which processed the order. All trade orders will be forwarded to the stock trading system of the stock exchange for execution. When an order is completed, the stock trading system of the stock exchange will return the transaction details of the order to the online stock trading system. The transaction details of a trade order may be a list of transactions, each transaction specifying the price and the number of shares traded. For example, the result of a buy order of 20,000 Maybank (stock code: 0005) shares at MYR 12.00 in the Bursa Saham Kuala Lumpur may be as follows: 4,000 shares at MYR 12.00; 8,000 shares at MYR 12.50; 8,000 shares at MYR 12.75. An order will be kept on the system for execution until the order is completed or the end of a trading day. There are three possible outcomes for a trade order: 1. The trade order is completed. For a buy order, the total amount for the buy order will be deducted from the client’s account and the number of shares of the stock purchased will be deposited into the account. For a sell order, the number of shares sold will be deducted from the client’s account and proceeds of the sell order will be deposited into the client’s account. 2. The trade order is partially completed. The number of shares traded (sell or buy) is less than the number of shares specified in the order. The number of shares successfully traded in the order will be used to calculate the amount of the proceeds, and the client’s account is adjusted accordingly. 3. The trade order is not executed by the end of a trading day. The order will be cancelled. A stock exchange may require that the number of shares specified in an order must be in multiples of the lot size of the stock. Each stock has its own lot size. Common lot sizes are 1, 400, 500, 1,000 and 2,000 shares. The client can deposit or withdraw cash or stock shares from his account. Upon the deposit or withdrawal of cash or stock shares, the account cash or stock balance will be updated accordingly.","Client, Account, StockExchange, Brokerage, Stock, Order, Transaction, Trade","Client [ID, Name, Address, Telephone], Account [AccountID, ClientID, Balance], StockExchange [ExchangeID, ExchangeName], Brokerage [BrokerageID, BrokerageName], Stock [Code, Name, LotSize], Order [OrderID, AccountID, StockCode, NumberOfShares, Price, Type, Status, Timestamp], Transaction [Price, NumberOfShares, Timestamp], Trade [Status, Timestamp]","Client and Account, Account and Order, Brokerage and StockExchange, Order and Stock, Order and Transaction, Order and Trade, Transaction and Stock"
"Create a domain model (using class diagram notation) based on the following description. You have been asked to build a management system for a group of archaeologists. The group is comprised of multiple teams of researchers. Each team has a letter ID (e.g., team A, team B). Each researcher belongs to one of the teams, and has an ID number, a first name, and a last name. There are two types of researchers: field and lab staff. Each field staff member has a favourite region (string). Each lab researcher supports up to 2 field researchers. Some researchers may not be supported by a lab researcher. The company also manages an inventory of equipment. Researchers of any type may check out up to 3 pieces of equipment. Each piece of equipment has a serial number and replacement cost.","Team, Researcher, FieldResearcher, LabResearcher, Equipment","Team [ID], Researcher [ID, FirstName, LastName, Type], FieldResearcher [Region], LabResearcher [Supports], Equipment [Number, Cost]","Team and Researcher, FieldResearcher and LabResearcher, Researcher and Equipment"
"Create a domain model (using class diagram notation) based on the following description. You have been contracted to build an asset-management system for a vampire-hunting company, Stake4Less. The organization consists of multiple teams of workers. Each team has a code name. Each worker belongs to one of the teams, and has an ID number, a first name, and a last name. There are two types of workers: hunters and support personnel. Hunters have a skill level. Each support person assists exactly one hunter on the team. Some hunters on the team may not be assigned a support person. The company also manages an arsenal of weapons. Workers of any type may check out up to 3 weapons from the arsenal. Each weapon has a serial number and replacement cost. There are two types of weapons in the arsenal: projectile and melee. Projectile weapons have a range and may come with an ammo pack. An ammo pack has an ammo type and includes some number of rounds. Melee weapons have a weight.","Team, Worker, Hunter, SupportPerson, Weapon, Projectile, Melee, AmmoPack","Team [Name], Worker [Number, Firstname, Lastname], Hunter [Level], SupportPerson [Assists], Weapon [Number, Cost], Projectile [Range, Pack], Melee [Weight], AmmoPack [Type, Rounds]","Team and Worker, Worker and Hunter, Worker and SupportPerson, Worker and Weapon, Weapon and Projectile, Weapon and Melee, Projectile and AmmoPack"
"Imagine that you are tasked with developing a system for a pizza shop. Given the following description, create a Domain Model (in the form of a UML class diagram). A customer places orders. A customer has a name and telephone number. There are two types of orders: pick-up and delivery. A pick-up order has a pick-up time. A delivery order has an address and deliver-by time. All orders consist of a set of items. There are two types of items: pizzas and drinks. All items have a price. A pizza has a size and a crust type. A pizza also has a number of toppings. A topping has a topping type and a price. Some pizzas are special pizzas that have a name (e.g., “Hawaiian” or “Meat Lovers”). A drink has a brand and a flavour.","Customer, Order, Pick-Up, Delivery, Item, Pizza, Drink, Topping, Special Pizza","Customer [Name, Telephone], Order [Type], Pick-Up [Time], Delivery [Address, Time], Item [Price], Pizza [Size, Type, Toppings], Drink [Brand, Flavour], Topping [Type, Price], SpecialPizza [Name]","Customer and Order, Order and Pick-Up, Order and Delivery, Order and Item, Item and Pizza, Item and Drink, Pizza and Topping, SpecialPizza and Pizza"
